Player ID,Player Name,Position,Mat,Inns,NNO,Runs,HS,Not out,Avg,BF,SR,100s,50s,0s,4s,6s,Iyengar_Score,Innings_Confidence,Batting_Position_Score,Lambda,Final_Position_Batting_Score
12086,Abhishek Sharma,1,1,1,0,0,0,0,0.0,4,0.0,0,0,1,0,0,0.0,0.486582880967408,0.0,0.25,0.23363539123677513
12086,Abhishek Sharma,2,1,1,0,100,100,0,100.0,47,212.76,1,0,0,7,8,0.48629740337345584,0.486582880967408,0.23662399154042585,0.25,0.2927913891218816
12086,Abhishek Sharma,3,2,2,0,24,14,0,12.0,20,120.0,0,0,0,2,1,0.266903320161412,0.7364028618842733,0.19654836881327825,0.4,0.2655276605147314
13217,Arshdeep Singh,8,3,3,1,8,8,0,4.0,5,160.0,0,0,1,0,1,0.21490744856869992,0.8646647167633873,0.18582288814699713,0.5,0.24866837156468197
13217,Arshdeep Singh,9,8,8,5,33,12,0,11.0,29,113.79,0,0,1,4,0,0.25914207692185665,0.9951720500061686,0.2578909519331803,0.7272727272727273,0.27251538003750386
13217,Arshdeep Singh,10,3,3,3,3,2,1,,8,37.5,0,0,0,0,0,,0.8646647167633873,,0.5,
13217,Arshdeep Singh,11,2,2,2,3,2,1,,2,150.0,0,0,0,0,0,,0.7364028618842733,,0.4,
9781,Avesh Khan,9,3,3,2,18,16,0,18.0,15,120.0,0,0,0,3,0,0.26068882143888655,0.8646647167633873,0.22540842595283608,0.5,0.26846114046760144
9781,Avesh Khan,10,2,2,1,9,8,0,9.0,5,180.0,0,0,0,0,1,0.25141113454633873,0.7364028618842733,0.18513987898949594,0.4,0.2609642645852185
8808,Axar Patel,4,1,1,0,20,20,0,20.0,18,111.11,0,0,0,2,1,0.2728999050268694,0.486582880967408,0.13278842200370614,0.25,0.26683249673770165
8808,Axar Patel,5,2,2,0,49,47,0,24.5,34,144.11,0,0,0,1,4,0.33297308781758095,0.7364028618842733,0.24520233479931006,0.4,0.2849892469091441
8808,Axar Patel,6,4,4,0,42,17,0,10.5,36,116.66,0,0,0,6,0,0.27278088882098306,0.9305165487771985,0.2538271312380778,0.5714285714285714,0.2785500128427731
8808,Axar Patel,7,24,24,11,299,65,0,23.0,197,151.77,0,1,2,19,16,0.5014001806316961,0.9999998874648253,0.5014001242065391,0.8888888888888888,0.4803016498482977
8808,Axar Patel,8,5,5,2,46,13,0,15.33,33,139.39,0,0,0,3,2,0.31773628866754555,0.9643260066527476,0.3064013664194389,0.625,0.30831854963053684
8808,Axar Patel,9,1,1,1,7,7,1,,3,233.33,0,0,0,1,0,,0.486582880967408,,0.25,
7836,Deepak Chahar,8,1,1,0,0,0,0,0.0,2,0.0,0,0,1,0,0,0.0,0.486582880967408,0.0,0.25,0.23363539123677513
7836,Deepak Chahar,9,5,5,4,53,31,0,53.0,26,203.84,0,0,0,4,4,0.41978129772644945,0.9643260066527476,0.4048060225040551,0.625,0.369821459683422
7836,Deepak Chahar,10,1,1,1,0,0,1,,0,,0,0,0,0,0,,0.486582880967408,,0.25,
14691,Dhruv Jurel,6,1,1,0,6,6,0,6.0,14,42.85,0,0,0,1,0,0.14318433820842985,0.486582880967408,0.0696710477948695,0.25,0.2510531531854925
9647,Hardik Pandya,3,1,1,0,0,0,0,0.0,2,0.0,0,0,1,0,0,0.0,0.486582880967408,0.0,0.25,0.23363539123677513
