Model,Prediction_Type,Role,MAE_mean,MAE_SD,RMSE_mean,RMSE_SD,R2_mean,R2_SD
Win+Loss,Raw,Batsman,0.7486253628895391,0.0,0.9077704880688205,0.0,-0.8772826619292049,0.0
Win+Loss,Raw,Batting Allrounder Pacer,0.4936805419351299,0.0,0.6515507784741315,0.0,-0.16343581181259315,0.0
Win+Loss,Raw,Batting Allrounder Spinner,1.014869290841772,0.0,1.145654387080978,0.0,-3.0890169979103534,0.0
Win+Loss,Raw,Bowling Allrounder Pacer,0.18288195992768377,0.0,0.19567537789708686,0.0,,
Win+Loss,Raw,Bowling Allrounder Spinner,0.43560522948499836,0.0,0.6074666450867917,0.0,-0.66057076201851,0.0
Win+Loss,Raw,OVERALL,0.5987793809576158,0.0,0.7620282648734699,0.0,0.3877669655698949,0.0
Win+Loss,Raw,Pacer,0.6157674909608585,0.0,0.7257240167307047,0.0,-0.3331469757887373,0.0
Win+Loss,Raw,Spinner,0.5497031090695382,0.0,0.7294333131596692,0.0,-0.28437479018221845,0.0
Win+Loss,Raw,Wicketkeeper,0.7491020625514053,0.0,0.7863549300008976,0.0,-5.260835018859255,0.0
Win+Loss,XI-constrained,Batsman,0.8148148148148147,0.0,1.0886621079036347,0.0,-1.6999999999999997,0.0
Win+Loss,XI-constrained,Batting Allrounder Pacer,0.4814814814814815,0.0,0.838870492807861,0.0,-0.9285714285714285,0.0
Win+Loss,XI-constrained,Batting Allrounder Spinner,1.037037037037037,0.0,1.1547005383792515,0.0,-3.1538461538461533,0.0
Win+Loss,XI-constrained,Bowling Allrounder Pacer,0.0,0.0,0.0,0.0,,
Win+Loss,XI-constrained,Bowling Allrounder Spinner,0.3333333333333333,0.0,0.5773502691896257,0.0,-0.5000000000000002,0.0
Win+Loss,XI-constrained,OVERALL,0.5879629629629629,0.0,0.8471083712209392,0.0,0.24342402603272176,0.0
Win+Loss,XI-constrained,Pacer,0.6666666666666666,0.0,0.90267093384844,0.0,-1.0624999999999996,0.0
Win+Loss,XI-constrained,Spinner,0.4814814814814815,0.0,0.693888666488711,0.0,-0.1622516556291389,0.0
Win+Loss,XI-constrained,Wicketkeeper,0.888888888888889,0.0,0.9428090415820634,0.0,-7.999999999999998,0.0
Win-only,Raw,Batsman,0.7641022239603514,0.0,0.9307238643348427,0.0,-0.9734187455853034,0.0
Win-only,Raw,Batting Allrounder Pacer,0.5238738243812203,0.0,0.6420214758319286,0.0,-0.12965285145879024,0.0
Win-only,Raw,Batting Allrounder Spinner,1.0284056809401667,0.0,1.1759051941871685,0.0,-3.307807503193282,0.0
Win-only,Raw,Bowling Allrounder Pacer,0.15767636374167163,0.0,0.16431043856955224,0.0,,
Win-only,Raw,Bowling Allrounder Spinner,0.40088560631521875,0.0,0.5896313038400984,0.0,-0.5644928351067853,0.0
Win-only,Raw,OVERALL,0.5954302506922081,0.0,0.766587615498635,0.0,0.3804188503516822,0.0
Win-only,Raw,Pacer,0.6822018128267819,0.0,0.8009203965214822,0.0,-0.6237297502091994,0.0
Win-only,Raw,Spinner,0.5033378048914308,0.0,0.6985316154971972,0.0,-0.17785741262255472,0.0
Win-only,Raw,Wicketkeeper,0.7029586884808237,0.0,0.7321053004824964,0.0,-4.426778981319985,0.0
Win-only,XI-constrained,Batsman,0.7037037037037037,0.0,0.9229582069908971,0.0,-0.9406249999999998,0.0
Win-only,XI-constrained,Batting Allrounder Pacer,0.37037037037037035,0.0,0.6085806194501846,0.0,-0.015037593984962294,0.0
Win-only,XI-constrained,Batting Allrounder Spinner,1.3333333333333333,0.0,1.4401645996461911,0.0,-5.461538461538461,0.0
Win-only,XI-constrained,Bowling Allrounder Pacer,0.0,0.0,0.0,0.0,,
Win-only,XI-constrained,Bowling Allrounder Spinner,0.3333333333333333,0.0,0.5773502691896257,0.0,-0.5000000000000002,0.0
Win-only,XI-constrained,OVERALL,0.6064814814814815,0.0,0.8579691784155834,0.0,0.22389948476905,0.0
Win-only,XI-constrained,Pacer,0.7407407407407407,0.0,0.9428090415820634,0.0,-1.2499999999999996,0.0
Win-only,XI-constrained,Spinner,0.4814814814814815,0.0,0.693888666488711,0.0,-0.1622516556291389,0.0
Win-only,XI-constrained,Wicketkeeper,0.888888888888889,0.0,0.9428090415820634,0.0,-7.999999999999998,0.0
